mouse_id,group,sex,litter,age,weight,rotarod,survival
1,Control,Male,A,70,23.5,82,136
2,Control,Male,A,70,25.1,88,136
3,Control,Male,A,70,24.8,95,137
4,Control,Male,A,70,26.2,90,137
5,Control,Male,B,70,23.9,78,137
6,Control,Male,B,70,25.5,102,138
7,Control,Male,B,70,24.1,85,138
8,Control,Male,B,70,26.8,110,138
9,Control,Male,C,70,25.0,92,138
10,Control,Male,C,70,24.3,80,138
11,Control,Male,C,70,25.8,98,139
12,Control,Female,C,70,23.7,106,139
13,Control,Female,D,70,26.1,84,139
14,Control,Female,D,70,24.9,112,140
15,Control,Female,D,70,25.3,88,140
16,Control,Female,D,70,23.8,95,140
17,Control,Female,E,70,26.5,76,140
18,Control,Female,E,70,24.7,104,141
19,Control,Female,E,70,25.1,91,141
20,Control,Female,E,70,24.4,108,141
21,Treatment,Male,A,70,24.2,108,141
22,Treatment,Male,A,70,25.8,118,142
23,Treatment,Male,A,70,23.9,125,142
24,Treatment,Male,A,70,26.4,112,142
25,Treatment,Male,B,70,24.7,135,142
26,Treatment,Male,B,70,25.1,122,143
27,Treatment,Male,B,70,24.5,140,143
28,Treatment,Male,B,70,26.0,115,143
29,Treatment,Male,C,70,25.3,130,143
30,Treatment,Male,C,70,24.8,128,144
31,Treatment,Female,C,70,25.6,120,144
32,Treatment,Female,C,70,23.6,138,144
33,Treatment,Female,D,70,26.2,110,144
34,Treatment,Female,D,70,24.9,145,144
35,Treatment,Female,D,70,25.4,124,145
36,Treatment,Female,D,70,24.1,132,145
37,Treatment,Female,E,70,26.7,116,145
38,Treatment,Female,E,70,25.0,142,145
39,Treatment,Female,E,70,24.3,126,145
40,Treatment,Female,E,70,25.7,119,145
